LS — UWB Realtime
  Anchors : ['0x1001', '0x1002', '0x1003', '0x1004']
  Height  : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

 Time(s)   Frame      X(mm)      Y(mm)
   4.787     284     6375.8     4132.0
   4.804     285     6380.7     4202.5
   4.821     286     6324.3     4149.2
   4.839     287     6341.0     4206.7
   4.856     288     6320.4     4126.4
   4.873     289     6363.1     4183.2
   4.889     290     6353.1     4135.7
   4.907     291     6318.8     4159.5
   4.925     292     6328.6     4146.4
   4.941     293     6385.8     4092.0
   4.958     294     6396.1     4093.3
   4.975     295     6433.5     4160.5
   4.992     296     6366.3     4221.7
   5.009     297     6369.7     4131.1
   5.025     298     6335.0     4171.8
   5.042     299     6352.3     4142.9
   5.059     300     6363.1     4148.9
   5.076     301     6388.5     4160.9
   5.093     302     6377.9     4151.4
   5.110     303     6375.7     4157.5
   5.127     304     6356.9     4200.2
   5.144     305     6370.3     4179.4
   5.162     306     6405.9     4149.5
   5.178     307     6322.8     4133.4
   5.195     308     6330.9     4149.4
   5.212     309     6311.0     4118.5
   5.229     310     6334.6     4175.4
   5.246     311     6361.1     4145.9
   5.263     312     6341.3     4166.5
   5.278     313     6330.7     4152.4
   5.295     314     6354.4     4137.0
   5.312     315     6343.2     4160.7
   5.328     316     6348.6     4147.2
   5.345     317     6332.2     4133.0
   5.362     318     6343.5     4169.4
   5.379     319     6337.2     4157.2
   5.396     320     6341.2     4136.9
   5.412     321     6344.4     4162.3
   5.429     322     6393.1     4103.2
   5.447     323     6364.5     4086.6
   5.463     324     6368.3     4151.0
   5.480     325     6349.1     4112.9
   5.497     326     6351.6     4081.9
   5.514     327     6348.5     4141.9
   5.532     328     6309.7     4128.7
   5.548     329     6368.9     4151.8
   5.565     330     6343.3     4126.8
   5.582     331     6336.1     4207.3
   5.597     332     6357.4     4167.2
   5.614     333     6362.8     4143.6
   5.631     334     6325.5     4128.4
   5.648     335     6287.5     4051.9
   5.665     336     6375.9     4092.8
   5.682     337     6348.0     4172.2
   5.700     338     6380.4     4154.1
   5.717     339     6376.9     4141.2
   5.733     340     6400.4     4164.4
   5.750     341     6372.8     4153.7
   5.767     342     6362.9     4122.6
   5.784     343     6292.1     4132.1
   5.803     344     6327.7     4093.5
   5.819     345     6392.6     4115.2
   5.836     346     6374.5     4124.9
   5.853     347     6349.3     4146.8
   5.869     348     6330.7     4097.5
   5.885     349     6364.9     4112.7
   5.902     350     6328.6     4171.6
   5.919     351     6354.6     4136.8
   5.936     352     6426.5     4181.8
   5.954     353     6354.2     4128.5
   5.971     354     6344.5     4184.4
   5.988     355     6368.4     4121.4
   6.005     356     6325.8     4172.1
   6.022     357     6347.8     4166.5
   6.038     358     6362.9     4122.6
   6.055     359     6388.6     4160.7
   6.071     360     6278.3     4156.1
   6.088     361     6352.0     4112.2
   6.105     362     6372.3     4130.9
   6.122     363     6309.4     4205.9
   6.139     364     6387.8     4173.7
   6.157     365     6359.7     4153.3
   6.174     366     6372.0     4199.4
   6.190     367     6353.4     4101.5
   6.207     368     6341.8     4150.8
   6.224     369     6370.4     4142.1
   6.241     370     6340.0     4131.1
   6.258     371     6368.1     4164.5
   6.275     372     6353.9     4131.7
   6.292     373     6332.0     4141.9
   6.309     374     6365.4     4194.8
   6.325     375     6344.4     4141.6
   6.342     376     6326.9     4185.7
   6.360     377     6365.8     4130.6
   6.377     378     6352.0     4206.8
   6.394     379     6338.8     4155.1
   6.411     380     6367.2     4137.7
   6.428     381     6322.6     4185.4
   6.445     382     6319.9     4220.0
   6.461     383     6309.6     4214.6
   6.477     384     6382.0     4143.0
   6.494     385     6277.0     4132.8
   6.511     386     6321.2     4153.4
   6.528     387     6353.5     4076.1
   6.545     388     6351.1     4141.3
   6.563     389     6362.7     4134.7
   6.581     390     6367.0     4132.2
   6.599     391     6327.9     4070.9
   6.615     392     6364.7     4104.2
   6.632     393     6355.1     4202.6
   6.649     394     6342.3     4116.3
   6.666     395     6327.8     4156.3
   6.682     396     6343.6     4175.0
   6.699     397     6330.5     4165.8
   6.716     398     6386.8     4102.5
   6.732     399     6343.6     4191.3
   6.749     400     6333.7     4148.4
   6.767     401     6355.3     4172.8
   6.787     402     6349.6     4177.6
   6.805     403     6341.4     4124.2
   6.825     404     6343.7     4127.3
   6.845     405     6366.4     4157.6
   6.864     406     6328.0     4132.0
   6.881     407     6340.2     4130.9
   6.898     408     6390.6     4112.3
   6.916     409     6360.8     4097.4
   6.934     410     6352.4     4117.4
   6.950     411     6346.4     4147.5
   6.970     412     6329.2     4133.7
   6.987     413     6328.2     4120.4
   7.004     414     6367.6     4103.9
   7.020     415     6421.7     4210.5
   7.037     416     6362.5     4126.1
   7.057     417     6346.3     4138.6
   7.073     418     6352.1     4143.1
   7.090     419     6350.7     4179.0
   7.108     420     6387.2     4176.2
   7.125     421     6413.5     4072.7
   7.141     422     6375.1     4090.4
   7.157     423     6345.3     4168.0
   7.175     424     6345.5     4143.0
   7.192     425     6355.1     4142.1
   7.209     426     6321.5     4161.9
   7.226     427     6333.5     4139.8
   7.243     428     6382.1     4139.9
   7.259     429     6374.6     4138.1
   7.275     430     6347.5     4149.3
   7.291     431     6353.2     4113.5
   7.308     432     6370.2     4150.0
   7.325     433     6338.0     4176.6
   7.342     434     6313.8     4211.9
   7.359     435     6352.0     4134.2
   7.376     436     6322.1     4240.7
   7.395     437     6341.7     4193.9
   7.412     438     6351.9     4142.9
   7.428     439     6362.4     4108.6
   7.445     440     6358.4     4186.4
   7.462     441     6358.6     4094.5
   7.478     442     6329.2     4124.9
   7.495     443     6369.6     4140.3
   7.512     444     6385.9     4067.2
   7.529     445     6361.8     4168.4
   7.546     446     6355.1     4130.1
   7.564     447     6319.6     4171.9
   7.580     448     6369.8     4171.1
   7.600     449     6352.3     4078.6
   7.616     450     6368.2     4173.3
   7.633     451     6372.2     4139.9
   7.649     452     6366.5     4166.7
   7.666     453     6392.4     4118.9
   7.683     454     6385.5     4083.9
   7.699     455     6341.2     4166.3
   7.716     456     6357.4     4175.8
   7.733     457     6338.7     4206.9
   7.752     458     6380.0     4166.6
   7.768     459     6351.6     4177.3
   7.785     460     6367.2     4140.6
   7.803     461     6309.1     4197.3
   7.820     462     6342.9     4096.4
   7.836     463     6358.4     4146.4
   7.853     464     6350.3     4105.7
   7.871     465     6361.5     4090.7
   7.886     466     6367.6     4159.2
   7.905     467     6350.8     4176.0
   7.921     468     6321.2     4165.8
   7.938     469     6308.0     4156.4
   7.955     470     6355.8     4212.0
   7.971     471     6357.2     4124.5
   7.990     472     6348.5     4133.2
   8.007     473     6344.2     4193.4
   8.024     474     6309.9     4168.4
   8.041     475     6364.4     4107.4
   8.059     476     6315.8     4154.5
   8.076     477     6339.6     4125.6
   8.091     478     6398.5     4187.8
   8.108     479     6393.9     4107.7
   8.125     480     6320.0     4186.1
   8.142     481     6374.4     4147.4
   8.159     482     6387.0     4093.6
   8.176     483     6353.0     4122.6
   8.193     484     6324.6     4252.2
   8.211     485     6334.3     4136.1
   8.228     486     6375.7     4135.3
   8.246     487     6355.3     4147.4
   8.262     488     6387.4     4132.9
   8.280     489     6370.2     4119.1
   8.296     490     6373.1     4149.1
   8.313     491     6350.8     4162.5
   8.331     492     6327.8     4122.6
   8.349     493     6349.2     4124.9
   8.365     494     6344.3     4162.2
   8.382     495     6327.7     4161.0
   8.399     496     6325.8     4189.7
   8.416     497     6321.3     4178.4
   8.433     498     6344.4     4128.2
   8.449     499     6325.1     4136.5
   8.466     500     6331.7     4201.4
   8.483     501     6316.3     4133.0
   8.499     502     6368.8     4160.8
   8.516     503     6386.0     4192.6
   8.533     504     6384.2     4176.8
   8.550     505     6350.8     4176.0
   8.567     506     6354.3     4081.2
   8.584     507     6284.6     4074.5
   8.601     508     6341.1     4157.9
   8.618     509     6380.6     4141.9
   8.635     510     6327.4     4148.0
   8.651     511     6349.4     4186.5
   8.668     512     6319.7     4124.5
   8.685     513     6339.9     4104.8
   8.702     514     6359.5     4148.0
   8.719     515     6367.2     4140.6
   8.736     516     6344.4     4170.9
   8.751     517     6341.8     4171.6
   8.769     518     6333.7     4139.6
   8.785     519     6382.4     4166.2
   8.801     520     6366.8     4141.1
   8.818     521     6348.3     4176.1
   8.835     522     6352.7     4173.4
   8.852     523     6340.2     4130.9
   8.869     524     6340.2     4191.3
   8.886     525     6348.7     4150.5
   8.903     526     6379.0     4164.7
   8.920     527     6348.1     4120.4
   8.937     528     6342.5     4156.0
   8.953     529     6345.0     4103.7
   8.970     530     6346.8     4122.2
   8.987     531     6422.4     4106.8
   9.004     532     6347.8     4175.4
   9.021     533     6359.9     4135.6
   9.038     534     6363.3     4205.3
   9.056     535     6381.1     4181.4
   9.073     536     6333.7     4109.8
   9.089     537     6368.2     4124.6
   9.108     538     6345.9     4151.4
   9.124     539     6275.1     4177.9
   9.143     540     6333.2     4091.2
   9.159     541     6406.6     4150.3
   9.176     542     6327.9     4110.3
   9.193     543     6324.7     4106.1
   9.210     544     6314.9     4152.8
   9.226     545     6336.3     4181.9
   9.245     546     6351.4     4210.4
   9.261     547     6328.8     4162.4
   9.278     548     6358.1     4129.4
   9.295     549     6381.7     4220.7
   9.312     550     6341.6     4129.1
   9.329     551     6336.2     4155.3
   9.346     552     6341.4     4154.2
   9.362     553     6389.7     4119.4
   9.379     554     6377.4     4181.6
   9.396     555     6323.8     4166.2
   9.413     556     6383.9     4232.6
   9.430     557     6300.8     4086.5
   9.447     558     6330.9     4152.9
   9.464     559     6354.1     4201.1
   9.482     560     6361.5     4194.1
   9.498     561     6383.1     4150.1
   9.514     562     6348.4     4068.4
   9.531     563     6335.3     4119.9
   9.548     564     6342.3     4116.3
   9.565     565     6326.6     4112.3
   9.582     566     6335.0     4149.8
   9.599     567     6324.6     4148.9
   9.616     568     6347.7     4146.0
   9.633     569     6255.4     4195.0
   9.649     570     6258.6     4130.1
   9.667     571     6309.6     4038.2
   9.683     572     6321.0     4190.4
   9.700     573     6380.3     4129.1
   9.719     574     6344.3     4071.3
   9.738     575     6338.2     4045.9
   9.756     576     6357.6     4115.0
   9.774     577     6357.4     4133.1
   9.790     578     6354.9     4142.3

[✓] Dừng. 578 frames. Log → ls_log.csv
