LS — UWB Realtime
  Anchors : ['0x1001', '0x1002', '0x1003', '0x1004']
  Height  : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

[ROBOT] Đã kết nối STM32 @ /dev/serial/by-id/usb-STMicroelectronics_BLUEPILL_F103C8_CDC_in_FS_Mode_498E169E3634-if00. Điều khiển xe bắt đầu.
 Time(s)   Frame      X(mm)      Y(mm)
   4.915     338     6416.0      646.4
   4.935     339     6420.6      652.7
   4.951     340     6404.6      763.8
   4.969     341     6510.6      649.7
   4.986     342     6489.6      621.7
   5.002     343     6402.2      643.1
   5.019     344     6360.2      832.7
   5.036     345     6515.0      710.1
   5.053     346     6542.9      665.0
   5.069     347     6464.2      653.2
   5.089     348     6523.8      717.9
   5.105     349     6468.5      640.2
   5.121     350     6490.3      716.2
   5.138     351     6446.6      640.8
   5.157     352     6472.0      689.8
   5.174     353     6426.6      754.5
   5.192     354     6378.0      704.7
   5.210     355     6451.1      768.7
   5.225     356     6429.4      754.7
   5.241     357     6419.6      843.9
   5.261     358     6308.7      681.3
   5.276     359     6431.9      829.7
   5.295     360     6404.9      807.9
   5.314     361     6362.2      791.1
   5.332     362     6398.8      851.3
   5.350     363     6396.8      837.3
   5.371     364     6399.6      833.5
   5.387     365     6442.0      787.6
   5.403     366     6494.9      632.7
   5.423     367     6502.6      639.1
   5.439     368     6455.6      669.3
   5.456     369     6455.1      675.0
   5.475     370     6372.6      824.2
   5.491     371     6498.7      810.8
   5.508     372     6434.9      704.9
   5.530     373     6436.3      703.0
   5.549     374     6407.4      716.8
   5.567     375     6520.0      825.8
   5.583     376     6450.3      742.1
   5.600     377     6356.8      737.9
   5.616     378     6495.6      594.5
   5.636     379     6492.0      589.7
   5.657     380     6489.2      593.5
   5.677     381     6494.3      611.3
   5.695     382     6468.1      580.0
   5.715     383     6476.5      602.6
   5.731     384     6658.3     1167.7
   5.750     385     6403.9      831.6
   5.766     386     6390.8      751.2
   5.784     387     6437.5      791.1
   5.800     388     6370.9      709.7
   5.818     389     6427.9      767.2
   5.836     390     6388.1      717.6
   5.852     391     6500.1      636.3
   5.869     392     6518.7      707.2
   5.886     393     6363.6      734.7
   5.902     394     6403.9      784.8
   5.918     395     6412.3      781.0
   5.936     396     6412.2      773.7
   5.952     397     6272.0      867.7
   5.969     398     6376.6      768.0
   5.986     399     6423.0      910.2
   6.005     400     6521.5      679.3
   6.022     401     6516.4      710.4
   6.042     402     6517.0      684.8
   6.060     403     6449.9      583.7
   6.076     404     6568.7      530.5
   6.093     405     6442.7      702.4
   6.110     406     6480.2      652.4
   6.129     407     6484.7      658.4
   6.146     408     6378.9      775.0
   6.164     409     6344.8      736.5
   6.180     410     6869.8     1394.7
   6.200     411     6889.7     1376.2
   6.217     412     6438.2      761.3
   6.234     413     6460.9      628.5
   6.250     414     6471.7      609.5
   6.267     415     6540.3      607.3
   6.284     416     6360.0      815.0
   6.302     417     6375.0      753.9
   6.320     418     6294.4      886.0
   6.336     419     6315.0      872.3
   6.352     420     6398.0      838.4
   6.370     421     6374.2      844.5
   6.388     422     6362.0      801.8
   6.406     423     6411.7      856.7
   6.426     424     6374.1      840.8
   6.445     425     6355.3      800.2
   6.463     426     6368.5      821.8
   6.481     427     6389.5      850.9
   6.497     428     6371.6      799.0
   6.516     429     6912.8      732.7
   6.537     430     6920.2      722.8
   6.560     431     6920.2      722.8
   6.581     432     6920.2      722.8
   6.598     433     6661.9      325.8
   6.616     434     6672.2      343.0
   6.636     435     6654.5      334.2
   6.652     436     6372.3      716.6
   6.671     437     6396.5      692.3
   6.687     438     6565.9      675.2
   6.703     439     6482.9      568.2
   6.723     440     6490.1      600.3
   6.741     441     6501.8      608.3
   6.757     442     6400.5      719.4
   6.777     443     6372.3      834.9
   6.795     444     6607.1     1152.3
   6.815     445     6648.6     1096.8
   6.831     446     6513.6      850.8
   6.851     447     6463.4      783.7
   6.870     448     6447.2      743.3
