Standard EKF — UWB Realtime
  Q=0.01 mm²   R=50.0 mm²
  Anchors : ['0x1001', '0x1002', '0x1003', '0x1004']
  Height  : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

[ROBOT] Đã kết nối STM32 @ /dev/serial/by-id/usb-STMicroelectronics_BLUEPILL_F103C8_CDC_in_FS_Mode_498E169E3634-if00. Điều khiển xe bắt đầu.
 Time(s)   Frame      X(mm)      Y(mm)
----------------------------------------
[EKF] init  x=63.0  y=4257.5
   5.447     375      822.1     4155.4
   5.464     376      825.6     4156.3
   5.480     377      829.2     4157.3
   5.497     378      832.9     4158.7
   5.513     379      835.4     4159.8
   5.530     380      838.5     4160.8
   5.547     381      841.7     4161.5
   5.564     382      843.8     4162.5
   5.581     383      846.8     4163.5
   5.599     384      849.3     4164.3
   5.616     385      852.4     4166.2
   5.632     386      856.0     4167.3
   5.649     387      858.8     4169.3
   5.666     388      861.8     4170.5
   5.683     389      864.5     4171.9
   5.702     390      867.2     4173.3
   5.718     391      870.8     4175.2
   5.735     392      873.9     4176.9
   5.752     393      877.2     4179.0
   5.768     394      881.1     4181.1
   5.785     395      883.7     4181.8
   5.802     396      887.8     4181.8
   5.819     397      890.8     4183.1
   5.838     398      893.3     4184.1
   5.854     399      895.5     4185.5
   5.871     400      898.4     4186.7
   5.887     401      901.7     4187.0
   5.904     402      904.5     4188.7
   5.921     403      907.0     4188.9
   5.938     404      908.9     4189.6
   5.955     405      910.2     4190.3
   5.972     406      913.2     4190.8
   5.989     407      915.6     4191.4
   6.006     408      917.9     4192.6
   6.023     409      919.5     4193.3
   6.039     410      921.6     4195.0
   6.056     411      923.2     4196.8
   6.073     412      925.9     4200.5
   6.090     413      928.6     4207.0
   6.109     414      931.9     4213.6
   6.125     415      934.7     4217.5
   6.142     416      936.9     4220.5
   6.159     417      940.0     4224.1
   6.175     418      942.0     4227.0
   6.192     419      944.5     4229.3
   6.209     420      947.5     4232.3
   6.226     421      950.4     4234.6
   6.243     422      954.0     4236.3
   6.261     423      957.5     4237.1
   6.279     424      961.1     4238.9
   6.295     425      964.2     4239.0
   6.314     426      967.9     4239.4
   6.330     427      970.9     4240.1
   6.349     428      973.9     4240.4
   6.366     429      977.5     4241.4
   6.383     430      980.5     4241.5
   6.400     431      984.3     4244.6
   6.416     432      987.2     4244.9
   6.432     433      992.4     4252.3
   6.450     434      995.9     4255.9
   6.466     435     1000.4     4262.0
   6.483     436     1005.7     4268.3
   6.500     437     1010.5     4274.0
   6.517     438     1015.1     4279.7
   6.535     439     1019.8     4285.1
   6.551     440     1023.9     4288.9
   6.568     441     1027.7     4293.1
   6.585     442     1031.9     4296.0
   6.602     443     1036.2     4298.7
   6.619     444     1040.3     4300.9
   6.636     445     1044.6     4302.9
   6.653     446     1048.0     4303.8
   6.670     447     1051.5     4304.2
   6.688     448     1055.8     4304.6
   6.704     449     1061.0     4310.1
   6.721     450     1064.3     4311.3
   6.740     451     1068.2     4313.8
   6.756     452     1072.5     4315.3
   6.773     453     1078.1     4321.3
   6.790     454     1083.5     4326.1
   6.806     455     1088.1     4330.6
   6.823     456     1092.8     4335.0
   6.840     457     1097.6     4339.7
   6.857     458     1102.3     4343.7
   6.874     459     1106.4     4347.9
   6.891     460     1111.1     4351.2
   6.909     461     1115.5     4354.7
   6.926     462     1119.9     4357.1
   6.942     463     1124.2     4359.8
   6.959     464     1128.3     4362.4
   6.976     465     1133.0     4364.4
   6.993     466     1137.1     4366.0
   7.010     467     1141.2     4366.8
   7.027     468     1145.3     4368.3
   7.044     469     1148.7     4368.7
   7.061     470     1151.6     4369.4
   7.077     471     1155.3     4370.1
   7.094     472     1158.4     4369.8
   7.111     473     1161.6     4369.7
   7.128     474     1165.0     4368.6
   7.145     475     1168.2     4367.7
   7.162     476     1172.2     4367.2
   7.179     477     1176.0     4367.5
   7.196     478     1179.9     4368.2
   7.214     479     1183.5     4368.8
   7.230     480     1187.9     4373.7
   7.247     481     1192.9     4376.8
   7.264     482     1197.5     4378.8
   7.281     483     1203.1     4382.4
   7.298     484     1208.1     4386.8
   7.315     485     1212.9     4391.0
   7.332     486     1218.2     4393.2
   7.348     487     1223.5     4397.1
   7.365     488     1228.4     4399.9
   7.382     489     1231.2     4397.7
   7.399     490     1233.3     4393.6
   7.419     491     1236.7     4389.7
   7.436     492     1239.3     4385.4
   7.453     493     1241.0     4380.8
   7.471     494     1243.8     4376.2
   7.487     495     1245.8     4371.1
   7.504     496     1248.1     4366.2
   7.521     497     1249.9     4362.5
   7.538     498     1251.9     4358.0
   7.555     499     1254.0     4353.8
   7.572     500     1256.3     4349.5
   7.588     501     1258.8     4345.0
   7.605     502     1260.0     4340.5
   7.622     503     1261.7     4337.6
   7.639     504     1263.9     4334.4
   7.656     505     1266.5     4331.5
   7.673     506     1270.2     4329.2
   7.690     507     1273.3     4327.4
   7.707     508     1275.5     4324.1
   7.723     509     1278.4     4323.5
   7.740     510     1281.3     4321.7
   7.757     511     1284.9     4321.8
   7.774     512     1287.4     4320.0
   7.791     513     1289.7     4319.2
   7.808     514     1292.0     4318.5
   7.825     515     1295.2     4317.4
   7.842     516     1298.0     4318.5
   7.859     517     1300.6     4317.4
   7.875     518     1303.3     4317.1
   7.892     519     1304.8     4316.1
   7.909     520     1307.3     4315.0
   7.926     521     1309.6     4314.1
   7.943     522     1311.9     4311.9
   7.959     523     1313.8     4310.7
   7.976     524     1316.1     4309.4
   7.993     525     1318.2     4308.4
   8.009     526     1320.0     4305.8
   8.026     527     1321.4     4302.9
   8.043     528     1323.3     4300.4
   8.060     529     1324.5     4297.1
   8.077     530     1326.8     4294.0
   8.094     531     1329.1     4291.3
   8.112     532     1330.9     4287.9
   8.129     533     1332.5     4285.2
   8.145     534     1334.1     4282.5
   8.162     535     1335.1     4278.9
   8.181     536     1336.4     4277.1
   8.197     537     1338.5     4273.9
   8.214     538     1341.1     4270.9
   8.231     539     1343.2     4268.5
   8.248     540     1345.3     4265.7
   8.265     541     1346.5     4262.9
   8.281     542     1348.6     4261.2
   8.298     543     1351.2     4259.2
   8.315     544     1353.3     4256.8
   8.332     545     1356.0     4255.3
   8.349     546     1357.7     4254.4
   8.366     547     1360.0     4252.9
   8.383     548     1362.5     4251.5
   8.400     549     1365.2     4249.7
   8.416     550     1367.5     4248.7
   8.433     551     1370.3     4247.3
   8.450     552     1373.1     4246.3
   8.467     553     1375.1     4244.4
   8.484     554     1377.9     4243.1
   8.501     555     1379.8     4242.1
   8.518     556     1382.7     4241.2
   8.535     557     1385.7     4239.9
   8.551     558     1388.4     4239.4
   8.568     559     1391.4     4239.3
   8.585     560     1394.7     4238.2
   8.602     561     1397.2     4236.9
   8.619     562     1400.2     4236.6
   8.636     563     1403.5     4236.3
   8.653     564     1406.3     4235.0
   8.670     565     1409.0     4234.7
   8.687     566     1411.7     4233.9
   8.703     567     1414.6     4232.9
   8.720     568     1417.1     4231.7
   8.737     569     1418.8     4230.2
   8.754     570     1422.1     4228.6
   8.771     571     1423.8     4225.9
   8.788     572     1425.7     4223.7
   8.805     573     1427.7     4222.1
   8.822     574     1428.7     4220.0
   8.838     575     1430.4     4216.8
   8.855     576     1431.6     4213.5
   8.872     577     1433.3     4209.2
   8.889     578     1435.9     4211.0
   8.906     579     1438.5     4210.9
   8.923     580     1441.5     4212.3
   8.940     581     1445.9     4217.7
   8.957     582     1451.0     4222.7
