KF — UWB Realtime
  Q=0.01 mm²   R=50.0 mm²
  Anchors : ['0x1001', '0x1002', '0x1003', '0x1004']
  Height  : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

[ROBOT] Đã kết nối STM32 @ /dev/serial/by-id/usb-STMicroelectronics_BLUEPILL_F103C8_CDC_in_FS_Mode_498E169E3634-if00. Điều khiển xe bắt đầu.
 Time(s)   Frame      X(mm)      Y(mm)
----------------------------------------
[KF] init  x=126.1  y=4294.5
   3.041     235      458.8     4040.5
   3.060     236      460.9     4041.2
   3.076     237      463.7     4042.4
   3.093     238      465.9     4043.5
   3.108     239      468.4     4044.5
   3.125     240      470.4     4044.6
   3.142     241      472.6     4044.0
   3.159     242      475.7     4043.3
   3.176     243      477.5     4042.6
   3.193     244      480.2     4042.9
   3.210     245      481.7     4042.4
   3.227     246      484.2     4042.3
   3.245     247      486.9     4041.8
   3.261     248      488.9     4041.1
   3.278     249      491.1     4041.0
   3.295     250      493.1     4038.8
   3.315     251      495.6     4037.1
   3.330     252      498.1     4035.9
   3.350     253      501.4     4035.0
   3.368     254      503.0     4034.3
   3.384     255      505.0     4034.9
   3.402     256      506.0     4035.2
   3.419     257      508.6     4035.0
   3.436     258      510.5     4034.6
   3.454     259      511.8     4034.5
   3.471     260      514.1     4034.7
   3.487     261      516.4     4034.5
   3.504     262      518.4     4033.7
   3.520     263      521.2     4032.9
   3.537     264      523.2     4032.8
   3.554     265      526.3     4031.9
   3.571     266      528.4     4031.4
   3.588     267      530.1     4029.7
   3.605     268      532.6     4029.1
   3.621     269      535.5     4030.7
   3.638     270      538.8     4031.3
   3.655     271      541.7     4031.7
   3.673     272      544.9     4033.3
   3.689     273      548.8     4034.9
   3.707     274      550.2     4032.6
   3.723     275      552.0     4034.4
   3.740     276      555.2     4036.2
   3.757     277      556.0     4033.7
   3.773     278      559.6     4037.6
   3.790     279      563.5     4039.9
   3.807     280      567.0     4041.8
   3.824     281      570.7     4040.0
   3.841     282      573.4     4043.2
   3.858     283      576.1     4044.2
   3.874     284      579.8     4046.7
   3.891     285      582.4     4046.2
   3.909     286      585.1     4044.9
   3.925     287      587.4     4044.2
   3.943     288      590.0     4043.8
   3.959     289      592.8     4042.6
   3.977     290      595.5     4042.4
   3.993     291      597.8     4041.4
   4.011     292      599.8     4040.4
   4.027     293      602.6     4039.5
   4.044     294      605.6     4037.6
   4.063     295      608.4     4036.4
   4.079     296      611.5     4035.3
   4.096     297      615.1     4038.6
   4.113     298      619.1     4041.8
   4.131     299      622.7     4045.3
   4.149     300      628.1     4052.8
   4.165     301      630.7     4055.0
   4.184     302      635.4     4056.7
   4.200     303      639.3     4059.8
   4.217     304      642.6     4061.5
   4.234     305      646.6     4064.8
   4.250     306      650.6     4067.4
   4.267     307      655.0     4070.0
   4.284     308      658.9     4072.4
   4.301     309      662.7     4076.3
   4.317     310      667.3     4078.4
   4.334     311      670.8     4078.9
   4.351     312      673.9     4078.6
   4.368     313      678.0     4079.0
   4.385     314      681.9     4079.5
   4.401     315      685.6     4080.4
   4.418     316      689.6     4080.0
   4.435     317      693.1     4080.0
   4.454     318      696.1     4080.2
   4.470     319      700.1     4079.4
   4.487     320      702.5     4081.0
   4.504     321      705.8     4081.2
   4.522     322      708.9     4081.0
   4.537     323      712.5     4080.6
   4.554     324      715.7     4080.7
   4.571     325      719.3     4081.6
   4.588     326      722.3     4081.7
   4.605     327      726.3     4082.7
   4.621     328      729.8     4083.0
   4.639     329      733.6     4083.5
   4.656     330      737.1     4083.1
   4.672     331      740.4     4084.2
   4.689     332      743.5     4084.6
   4.706     333      746.5     4084.6
   4.724     334      749.1     4085.9
   4.741     335      751.6     4087.2
   4.758     336      755.3     4087.5
   4.775     337      758.1     4088.2
   4.792     338      761.2     4089.0
   4.809     339      763.7     4090.0
   4.824     340      765.6     4091.0
   4.842     341      768.7     4091.9
   4.858     342      772.9     4093.0
   4.875     343      774.9     4094.8
   4.894     344      776.7     4095.6
   4.911     345      779.9     4096.6
   4.928     346      782.2     4095.4
   4.944     347      785.6     4094.3
   4.961     348      788.3     4093.0
   4.978     349      790.8     4091.7
   4.995     350      793.3     4091.2
   5.012     351      796.6     4091.2
   5.028     352      800.0     4090.2
   5.045     353      803.3     4090.0
   5.062     354      804.7     4090.3
   5.079     355      807.3     4090.2
   5.095     356      808.9     4090.2
   5.112     357      811.8     4090.5
   5.129     358      815.0     4090.8
   5.147     359      816.8     4092.4
   5.163     360      819.3     4092.7
   5.180     361      822.5     4092.6
   5.197     362      824.2     4093.6
   5.214     363      826.7     4094.2
   5.230     364      829.1     4094.2
   5.247     365      832.1     4095.0
   5.264     366      835.2     4095.4
   5.281     367      838.5     4095.9
   5.298     368      841.7     4097.4
   5.315     369      845.3     4099.3
   5.333     370      848.9     4100.8
   5.351     371      851.7     4101.6
   5.367     372      854.7     4102.6
   5.384     373      858.1     4103.8
   5.401     374      860.4     4105.4
   5.417     375      863.1     4106.7
   5.434     376      865.4     4107.8
   5.451     377      868.8     4109.4
   5.468     378      871.1     4109.3
   5.485     379      873.4     4110.4
   5.501     380      876.6     4111.9
   5.518     381      880.1     4113.0
   5.535     382      882.8     4113.8
   5.554     383      885.8     4115.0
   5.572     384      890.0     4116.5
   5.588     385      893.3     4117.5
   5.605     386      896.5     4118.6
   5.621     387      900.2     4120.5
   5.638     388      904.1     4121.7
   5.655     389      907.7     4124.0
   5.672     390      910.6     4125.9
   5.689     391      914.0     4127.8
   5.706     392      917.3     4130.0
   5.723     393      919.5     4131.1
   5.740     394      923.2     4132.5
   5.756     395      927.2     4133.8
   5.774     396      930.5     4134.5
   5.790     397      933.6     4134.3
   5.809     398      936.4     4135.3
   5.826     399      939.4     4135.5
   5.843     400      941.3     4137.7
   5.860     401      944.2     4139.6
   5.877     402      946.8     4140.8
   5.897     403      948.3     4142.2
   5.915     404      950.9     4142.7
   5.931     405      954.3     4143.3
   5.948     406      956.5     4143.7
   5.966     407      959.6     4144.4
   5.983     408      961.7     4144.9
   5.999     409      964.7     4146.1
   6.016     410      966.7     4147.3
   6.032     411      968.9     4148.2
   6.049     412      971.4     4150.0
   6.066     413      975.2     4154.5
   6.083     414      978.9     4160.6
   6.100     415      982.5     4166.6
   6.117     416      984.7     4171.9
   6.133     417      987.8     4176.7
   6.150     418      990.1     4181.2
   6.167     419      992.7     4184.5
   6.184     420      996.2     4187.6
   6.201     421      999.1     4191.2
   6.218     422     1002.2     4194.5
   6.235     423     1005.3     4195.9
   6.252     424     1008.6     4198.0
   6.268     425     1011.8     4199.2
