KF — UWB Realtime
  Q=0.01 mm²   R=300.0 mm²
  Anchors : ['0x1001', '0x1002', '0x1003', '0x1004']
  Height  : 1400.0 mm

Đang kết nối /dev/serial/by-id/usb-SEGGER_J-Link_000760192143-if00 @ 921600...
OK. Đang chờ dữ liệu... (Ctrl+C để dừng)

 Time(s)   Frame      X(mm)      Y(mm)
----------------------------------------
[KF] init  x=6568.4  y=985.2
   5.157     305     6572.3      925.8
   5.174     306     6572.5      926.1
   5.190     307     6572.5      926.0
   5.207     308     6572.5      925.7
   5.224     309     6572.5      925.5
   5.241     310     6572.8      925.5
   5.259     311     6572.7      925.4
   5.275     312     6572.6      925.4
   5.292     313     6572.4      925.5
   5.309     314     6572.7      925.9
   5.326     315     6572.8      925.9
   5.342     316     6572.7      926.0
   5.359     317     6572.6      926.1
   5.376     318     6572.8      925.6
   5.393     319     6572.8      925.5
   5.410     320     6572.7      925.5
   5.427     321     6572.6      925.4
   5.444     322     6572.4      925.8
   5.460     323     6572.3      926.0
   5.477     324     6572.2      926.2
   5.493     325     6572.2      926.1
   5.510     326     6572.3      926.4
   5.527     327     6572.0      925.9
   5.544     328     6572.0      926.1
   5.561     329     6572.3      926.2
   5.578     330     6572.3      926.2
   5.595     331     6572.2      926.3
   5.611     332     6572.6      926.3
   5.628     333     6572.8      926.2
   5.645     334     6573.0      926.1
   5.662     335     6573.2      926.3
   5.681     336     6573.1      926.1
   5.698     337     6573.1      926.4
   5.715     338     6573.1      926.6
   5.731     339     6573.3      926.2
   5.748     340     6573.5      926.7
   5.765     341     6573.5      926.3
   5.782     342     6573.5      926.3
   5.801     343     6573.5      926.5
   5.817     344     6573.4      926.7
   5.834     345     6573.4      926.6
   5.851     346     6573.1      926.6
   5.868     347     6573.2      926.9
   5.884     348     6573.0      926.8
   5.901     349     6572.7      926.9
   5.917     350     6572.6      926.7
   5.934     351     6572.5      926.8
   5.950     352     6572.3      926.5
   5.967     353     6572.2      926.4
   5.984     354     6572.6      926.1
   6.001     355     6572.9      926.5
   6.018     356     6573.0      926.3
   6.034     357     6572.8      926.0
   6.051     358     6572.9      925.7
   6.068     359     6573.1      925.8
   6.088     360     6573.1      925.8
   6.105     361     6573.0      925.9
   6.122     362     6573.1      925.9
   6.138     363     6573.3      926.2
   6.155     364     6573.6      926.5
   6.172     365     6573.3      926.4
   6.189     366     6573.4      926.3
   6.205     367     6573.3      926.4
   6.224     368     6573.1      926.3
   6.240     369     6573.0      926.3
   6.257     370     6572.8      926.3
   6.274     371     6572.8      926.3
   6.290     372     6572.6      926.3
   6.307     373     6572.6      926.2
   6.324     374     6572.4      926.2
   6.341     375     6572.3      926.2
   6.358     376     6572.4      926.4
   6.375     377     6572.4      925.9
   6.392     378     6572.5      925.9
   6.409     379     6572.7      925.7
   6.425     380     6572.7      925.8
   6.442     381     6572.6      925.9
   6.459     382     6572.6      925.8
   6.476     383     6572.3      925.7
   6.495     384     6572.1      925.6
   6.512     385     6572.1      925.7
   6.529     386     6572.5      926.3
   6.547     387     6572.7      926.3
   6.563     388     6572.6      926.4
   6.580     389     6572.8      926.7
   6.597     390     6572.8      926.8
   6.614     391     6572.7      926.8
   6.632     392     6572.5      926.7
   6.649     393     6572.5      926.5
   6.666     394     6572.5      926.2
   6.682     395     6572.7      926.4
   6.699     396     6573.1      926.7
   6.718     397     6573.1      926.8
   6.734     398     6573.1      926.6
   6.750     399     6573.2      926.8
   6.767     400     6573.5      926.7
   6.784     401     6573.5      927.1
   6.801     402     6573.5      927.0
   6.817     403     6573.4      927.1
   6.834     404     6573.5      927.0
   6.851     405     6573.3      927.2
   6.868     406     6573.5      927.1
   6.885     407     6573.5      927.3
   6.902     408     6573.4      927.1
   6.919     409     6573.7      927.1
   6.936     410     6573.3      927.2
   6.952     411     6573.1      927.2
   6.969     412     6573.0      927.1
   6.986     413     6572.7      927.0
   7.003     414     6573.1      926.9
   7.022     415     6573.5      926.7
   7.038     416     6573.5      926.7
   7.055     417     6573.4      926.6
   7.072     418     6573.4      926.8
   7.088     419     6573.5      927.2
   7.105     420     6573.4      927.2
   7.122     421     6573.2      927.4
   7.138     422     6572.9      927.4
   7.157     423     6573.1      927.6
   7.173     424     6573.2      927.9
   7.190     425     6573.1      927.6
   7.207     426     6573.1      928.2
   7.224     427     6573.5      928.0
   7.240     428     6573.6      928.0
   7.257     429     6573.7      928.0
   7.274     430     6573.5      927.7
   7.293     431     6573.5      927.6
   7.310     432     6573.6      927.8
   7.328     433     6573.7      927.9
   7.345     434     6573.6      927.9
   7.361     435     6573.7      928.3
